股票代码,股票名称,交易所,板块
002019,亿帆医药,SZ,深市中小板
002020,京新药业,SZ,深市中小板
002021,中捷资源,SZ,深市中小板
002022,科华生物,SZ,深市中小板
002023,海特高新,SZ,深市中小板
002025,航天电器,SZ,深市中小板
002026,山东威达,SZ,深市中小板
002027,分众传媒,SZ,深市中小板
002028,思源电气,SZ,深市中小板
002029,七 匹 狼,SZ,深市中小板
002030,达安基因,SZ,深市中小板
002031,巨轮智能,SZ,深市中小板
002032,苏 泊 尔,SZ,深市中小板
002033,丽江股份,SZ,深市中小板
002034,旺能环境,SZ,深市中小板
002035,华帝股份,SZ,深市中小板
002036,联创电子,SZ,深市中小板
002037,保利联合,SZ,深市中小板
002038,双鹭药业,SZ,深市中小板
002039,黔源电力,SZ,深市中小板
002040,南 京 港,SZ,深市中小板
002041,登海种业,SZ,深市中小板
002042,华孚时尚,SZ,深市中小板
002043,兔 宝 宝,SZ,深市中小板
002044,美年健康,SZ,深市中小板
002045,国光电器,SZ,深市中小板
002046,国机精工,SZ,深市中小板
002047,宝鹰股份,SZ,深市中小板
002048,宁波华翔,SZ,深市中小板
002049,紫光国微,SZ,深市中小板
002050,三花智控,SZ,深市中小板
002051,中工国际,SZ,深市中小板
002052,同洲电子,SZ,深市中小板
002053,云南能投,SZ,深市中小板
002054,德美化工,SZ,深市中小板
002056,横店东磁,SZ,深市中小板
002057,中钢天源,SZ,深市中小板
002058,威尔泰,SZ,深市中小板
002059,云南旅游,SZ,深市中小板
002060,广东建工,SZ,深市中小板
002061,浙江交科,SZ,深市中小板
002062,宏润建设,SZ,深市中小板
002063,远光软件,SZ,深市中小板
002064,华峰化学,SZ,深市中小板
002065,东华软件,SZ,深市中小板
002066,瑞泰科技,SZ,深市中小板
002067,景兴纸业,SZ,深市中小板
002068,黑猫股份,SZ,深市中小板
002069,獐子岛,SZ,深市中小板
002072,凯瑞德,SZ,深市中小板
002073,软控股份,SZ,深市中小板
002074,国轩高科,SZ,深市中小板
002075,沙钢股份,SZ,深市中小板
002076,星光股份,SZ,深市中小板
002077,大港股份,SZ,深市中小板
002078,太阳纸业,SZ,深市中小板
002079,苏州固锝,SZ,深市中小板
002080,中材科技,SZ,深市中小板
002081,金 螳 螂,SZ,深市中小板
002083,孚日股份,SZ,深市中小板
002084,海鸥住工,SZ,深市中小板
002085,万丰奥威,SZ,深市中小板
002086,东方海洋,SZ,深市中小板
002088,鲁阳节能,SZ,深市中小板
002090,金智科技,SZ,深市中小板
002091,江苏国泰,SZ,深市中小板
002092,中泰化学,SZ,深市中小板
002093,国脉科技,SZ,深市中小板
002094,青岛金王,SZ,深市中小板
002095,生 意 宝,SZ,深市中小板
002096,易普力,SZ,深市中小板
002097,山河智能,SZ,深市中小板
002098,浔兴股份,SZ,深市中小板
002099,海翔药业,SZ,深市中小板
002100,天康生物,SZ,深市中小板
002101,广东鸿图,SZ,深市中小板
002103,广博股份,SZ,深市中小板
002104,恒宝股份,SZ,深市中小板
002105,信隆健康,SZ,深市中小板
002106,莱宝高科,SZ,深市中小板
002107,沃华医药,SZ,深市中小板
002108,沧州明珠,SZ,深市中小板
002110,三钢闽光,SZ,深市中小板
002111,威海广泰,SZ,深市中小板
002112,三变科技,SZ,深市中小板
002114,罗平锌电,SZ,深市中小板
002115,三维通信,SZ,深市中小板
002116,中国海诚,SZ,深市中小板
002117,东港股份,SZ,深市中小板
002119,康强电子,SZ,深市中小板
002120,韵达股份,SZ,深市中小板
002121,科陆电子,SZ,深市中小板
002123,梦网科技,SZ,深市中小板
002124,天邦食品,SZ,深市中小板
002125,湘潭电化,SZ,深市中小板
002126,银轮股份,SZ,深市中小板
002127,南极电商,SZ,深市中小板
002128,电投能源,SZ,深市中小板
002129,TCL中环,SZ,深市中小板
002130,沃尔核材,SZ,深市中小板
002131,利欧股份,SZ,深市中小板
002132,恒星科技,SZ,深市中小板
002133,广宇集团,SZ,深市中小板
002134,天津普林,SZ,深市中小板
002135,东南网架,SZ,深市中小板
002136,安 纳 达,SZ,深市中小板
002137,实益达,SZ,深市中小板
002138,顺络电子,SZ,深市中小板
002139,拓邦股份,SZ,深市中小板
002140,东华科技,SZ,深市中小板
002141,贤丰控股,SZ,深市中小板
002142,宁波银行,SZ,深市中小板
002144,宏达高科,SZ,深市中小板
002145,钛能化学,SZ,深市中小板
002146,荣盛发展,SZ,深市中小板
002148,北纬科技,SZ,深市中小板
002149,西部材料,SZ,深市中小板
002150,正泰电源,SZ,深市中小板
002151,北斗星通,SZ,深市中小板
002152,广电运通,SZ,深市中小板
002153,石基信息,SZ,深市中小板
002154,报 喜 鸟,SZ,深市中小板
002155,湖南黄金,SZ,深市中小板
002156,通富微电,SZ,深市中小板
002157,正邦科技,SZ,深市中小板
002158,汉钟精机,SZ,深市中小板
002159,三特索道,SZ,深市中小板
002160,常铝股份,SZ,深市中小板
002161,远 望 谷,SZ,深市中小板
002162,悦心健康,SZ,深市中小板
002163,海南发展,SZ,深市中小板
002164,宁波东力,SZ,深市中小板
002165,红 宝 丽,SZ,深市中小板
002166,莱茵生物,SZ,深市中小板
002167,东方锆业,SZ,深市中小板
002169,智光电气,SZ,深市中小板
002170,芭田股份,SZ,深市中小板
002171,楚江新材,SZ,深市中小板
002172,澳洋健康,SZ,深市中小板
002173,创新医疗,SZ,深市中小板
002174,游族网络,SZ,深市中小板
002176,江特电机,SZ,深市中小板
002177,御银股份,SZ,深市中小板
002178,延华智能,SZ,深市中小板
002179,中航光电,SZ,深市中小板
002180,奔图科技,SZ,深市中小板
002181,粤 传 媒,SZ,深市中小板
002182,宝武镁业,SZ,深市中小板
002183,怡 亚 通,SZ,深市中小板
002184,海得控制,SZ,深市中小板
002185,华天科技,SZ,深市中小板
002186,全 聚 德,SZ,深市中小板
002187,广百股份,SZ,深市中小板
002188,中天服务,SZ,深市中小板
002189,中光学,SZ,深市中小板
002190,成飞集成,SZ,深市中小板
002191,劲嘉股份,SZ,深市中小板
002192,融捷股份,SZ,深市中小板
002194,武汉凡谷,SZ,深市中小板
002195,岩山科技,SZ,深市中小板
002196,方正电机,SZ,深市中小板
002197,证通电子,SZ,深市中小板
002200,交投生态,SZ,深市中小板
002201,九鼎新材,SZ,深市中小板
002202,金风科技,SZ,深市中小板
002203,海亮股份,SZ,深市中小板
002204,大连重工,SZ,深市中小板
002205,国统股份,SZ,深市中小板
002206,海 利 得,SZ,深市中小板
002208,合肥城建,SZ,深市中小板
002209,达 意 隆,SZ,深市中小板
002210,飞马国际,SZ,深市中小板
002212,天融信,SZ,深市中小板
002213,大为股份,SZ,深市中小板
002215,诺 普 信,SZ,深市中小板
002216,三全食品,SZ,深市中小板
002218,拓日新能,SZ,深市中小板
002219,新里程,SZ,深市中小板
002221,东华能源,SZ,深市中小板
002222,福晶科技,SZ,深市中小板
002223,鱼跃医疗,SZ,深市中小板
002224,三 力 士,SZ,深市中小板
002225,濮耐股份,SZ,深市中小板
002226,江南化工,SZ,深市中小板
002228,合兴包装,SZ,深市中小板
002229,鸿博股份,SZ,深市中小板
002230,科大讯飞,SZ,深市中小板
002232,启明信息,SZ,深市中小板
002233,塔牌集团,SZ,深市中小板
002234,民和股份,SZ,深市中小板
002235,安妮股份,SZ,深市中小板
002236,大华股份,SZ,深市中小板
002237,恒邦股份,SZ,深市中小板
002238,天威视讯,SZ,深市中小板
002239,奥特佳,SZ,深市中小板
002240,盛新锂能,SZ,深市中小板
002241,歌尔股份,SZ,深市中小板
002242,九阳股份,SZ,深市中小板
002243,力合科创,SZ,深市中小板
002244,滨江集团,SZ,深市中小板
002245,蔚蓝锂芯,SZ,深市中小板
002246,北化股份,SZ,深市中小板
002247,聚力文化,SZ,深市中小板
002248,华东数控,SZ,深市中小板
002249,大洋电机,SZ,深市中小板
002250,联化科技,SZ,深市中小板
002251,步步高,SZ,深市中小板
002252,上海莱士,SZ,深市中小板
002253,川大智胜,SZ,深市中小板
002254,泰和新材,SZ,深市中小板
002255,海陆重工,SZ,深市中小板
002256,兆新股份,SZ,深市中小板
002258,利尔化学,SZ,深市中小板
002259,升达林业,SZ,深市中小板
002261,拓维信息,SZ,深市中小板
002262,恩华药业,SZ,深市中小板
002263,大东南,SZ,深市中小板
002264,新 华 都,SZ,深市中小板
002265,建设工业,SZ,深市中小板
002266,浙富控股,SZ,深市中小板
002267,陕天然气,SZ,深市中小板
002268,电科网安,SZ,深市中小板
002269,美邦服饰,SZ,深市中小板
002270,华明装备,SZ,深市中小板
002271,东方雨虹,SZ,深市中小板
002272,川润股份,SZ,深市中小板
002273,水晶光电,SZ,深市中小板
002274,华昌化工,SZ,深市中小板
002275,桂林三金,SZ,深市中小板
002276,万马股份,SZ,深市中小板
002277,友阿股份,SZ,深市中小板
002278,神开股份,SZ,深市中小板
002279,久其软件,SZ,深市中小板
002281,光迅科技,SZ,深市中小板
002282,博深股份,SZ,深市中小板
002283,天润工业,SZ,深市中小板
